p6l             --- http://www.nntp.perl.org/group/perl.perl6.language/
perl6-language  --- http://www.nntp.perl.org/group/perl.perl6.language/
perl6-users     --- http://www.nntp.perl.org/group/perl.perl6.users/
p6c             --- http://www.nntp.perl.org/group/perl.perl6.compiler/
perl6-compiler  --- http://www.nntp.perl.org/group/perl.perl6.compiler/
S01				--- http://perlcabal.org/syn/S01.html
S02				--- http://perlcabal.org/syn/S02.html
S03				--- http://perlcabal.org/syn/S03.html
S04				--- http://perlcabal.org/syn/S04.html
S05				--- http://perlcabal.org/syn/S05.html
S06				--- http://perlcabal.org/syn/S06.html
S09				--- http://perlcabal.org/syn/S09.html
S10				--- http://perlcabal.org/syn/S10.html
S11				--- http://perlcabal.org/syn/S11.html
S12				--- http://perlcabal.org/syn/S12.html
S13				--- http://perlcabal.org/syn/S13.html
S14				--- http://perlcabal.org/syn/S14.html
S16				--- http://perlcabal.org/syn/S16.html
S26				--- http://perlcabal.org/syn/S26.html
S29				--- http://perlcabal.org/syn/S29.html
